Timestep , Time value
0 ,  1.99446e-002
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 6.50000e-001 , 0.00000e+000 , 6.50000e-001 , 3.00000e+002
0.00000e+000 , 6.44949e-001 , 0.00000e+000 , 6.44949e-001 , 3.00000e+002
0.00000e+000 , 6.39899e-001 , 0.00000e+000 , 6.39899e-001 , 3.00000e+002
0.00000e+000 , 6.34848e-001 , 0.00000e+000 , 6.34848e-001 , 3.00000e+002
0.00000e+000 , 6.29798e-001 , 0.00000e+000 , 6.29798e-001 , 3.00000e+002
0.00000e+000 , 6.24747e-001 , 0.00000e+000 , 6.24747e-001 , 3.00000e+002
0.00000e+000 , 6.19697e-001 , 0.00000e+000 , 6.19697e-001 , 3.00000e+002
0.00000e+000 , 6.14646e-001 , 0.00000e+000 , 6.14646e-001 , 3.00000e+002
0.00000e+000 , 6.09596e-001 , 0.00000e+000 , 6.09596e-001 , 3.00000e+002
0.00000e+000 , 6.04545e-001 , 0.00000e+000 , 6.04545e-001 , 3.00000e+002
0.00000e+000 , 5.99495e-001 , 0.00000e+000 , 5.99495e-001 , 3.00000e+002
0.00000e+000 , 5.94444e-001 , 0.00000e+000 , 5.94444e-001 , 3.00000e+002
0.00000e+000 , 5.89394e-001 , 0.00000e+000 , 5.89394e-001 , 3.00000e+002
0.00000e+000 , 5.84343e-001 , 0.00000e+000 , 5.84343e-001 , 3.00000e+002
0.00000e+000 , 5.79293e-001 , 0.00000e+000 , 5.79293e-001 , 3.00000e+002
0.00000e+000 , 5.74242e-001 , 0.00000e+000 , 5.74242e-001 , 3.00000e+002
0.00000e+000 , 5.69192e-001 , 0.00000e+000 , 5.69192e-001 , 3.00000e+002
0.00000e+000 , 5.64141e-001 , 0.00000e+000 , 5.64141e-001 , 3.00000e+002
0.00000e+000 , 5.59091e-001 , 0.00000e+000 , 5.59091e-001 , 3.00000e+002
0.00000e+000 , 5.54040e-001 , 0.00000e+000 , 5.54040e-001 , 3.00000e+002
0.00000e+000 , 5.48990e-001 , 0.00000e+000 , 5.48990e-001 , 3.00000e+002
0.00000e+000 , 5.43939e-001 , 0.00000e+000 , 5.43939e-001 , 3.00000e+002
0.00000e+000 , 5.38889e-001 , 0.00000e+000 , 5.38889e-001 , 3.00000e+002
0.00000e+000 , 5.33838e-001 , 0.00000e+000 , 5.33838e-001 , 3.00000e+002
0.00000e+000 , 5.28788e-001 , 0.00000e+000 , 5.28788e-001 , 3.00000e+002
